"index","long","lat","buildings","Hou or not"
42,-4.749543795620438,11.276537645811242,709,1
80,-4.703923357664234,10.934013785790032,1070,1
93,-4.6674270072992705,11.348647932131495,1453,1
106,-4.640054744525547,11.736240721102863,1418,0
121,-4.621806569343066,11.72722693531283,717,1
129,-4.6126824817518255,11.186399787910924,581,1
134,-4.594434306569343,12.042709437963946,867,0
135,-4.594434306569343,11.81736479321315,676,1
137,-4.594434306569343,11.26752386002121,1838,1
139,-4.585310218978103,11.096261930010604,625,1
145,-4.576186131386862,11.664130434782606,833,1
150,-4.567062043795621,12.06073700954401,606,1
167,-4.54881386861314,11.700185577942737,612,0
172,-4.54881386861314,11.37568928950159,508,1
176,-4.539689781021897,11.664130434782606,1983,0
184,-4.521441605839415,10.897958642629906,756,1
185,-4.512317518248176,11.880461293743371,1537,1
186,-4.512317518248176,11.799337221633087,549,1
196,-4.503193430656934,11.123303287380699,514,1
197,-4.494069343065694,11.384703075291622,738,1
198,-4.475821167883212,11.81736479321315,716,0
203,-4.46669708029197,11.691171792152703,1303,1
205,-4.46669708029197,11.231468716861084,580,1
209,-4.45757299270073,11.258510074231179,512,0
220,-4.430200729927007,11.294565217391305,1202,1
224,-4.430200729927007,11.132317073170734,1348,1
230,-4.421076642335766,10.97908271474019,1425,1
254,-4.375456204379562,10.888944856839872,2594,1
255,-4.375456204379562,10.789793213149522,610,1
272,-4.35720802919708,11.655116648992577,500,1
310,-4.338959854014599,10.825848356309649,1150,1
319,-4.329835766423358,11.312592788971369,1274,1
356,-4.311587591240876,11.37568928950159,714,0
388,-4.293339416058394,11.601033934252385,724,1
405,-4.293339416058394,11.060206786850475,964,1
409,-4.284215328467154,11.682158006362673,841,1
410,-4.284215328467154,11.348647932131495,2137,1
442,-4.275091240875913,11.006124072110286,563,1
443,-4.275091240875913,10.771765641569457,650,1
457,-4.265967153284672,10.825848356309649,608,1
462,-4.256843065693429,11.790323435843053,545,0
481,-4.24771897810219,11.420758218451748,1811,1
497,-4.238594890510949,11.294565217391305,740,1
508,-4.229470802919709,11.81736479321315,684,1
517,-4.229470802919709,10.897958642629906,1425,1
529,-4.202098540145985,11.384703075291622,1470,1
530,-4.202098540145985,11.159358430540829,502,1
539,-4.183850364963503,11.81736479321315,932,0
541,-4.183850364963503,11.348647932131495,830,0
545,-4.1747262773722635,11.72722693531283,1459,1
546,-4.1747262773722635,11.303579003181337,918,1
550,-4.165602189781021,11.81736479321315,3121,1
554,-4.156478102189782,11.934544008483565,531,1
560,-4.156478102189782,10.816834570519617,1878,1
579,-4.1199817518248185,11.258510074231179,678,1
592,-4.092609489051094,10.816834570519617,527,1
595,-4.083485401459854,11.709199363732766,775,1
598,-4.083485401459854,11.303579003181337,1370,1
605,-4.0743613138686126,11.790323435843053,1439,1
606,-4.0743613138686126,11.664130434782606,561,1
612,-4.065237226277373,10.879931071049839,890,0
617,-4.056113138686131,10.762751855779426,512,1
624,-4.046989051094891,10.789793213149522,520,0
637,-4.037864963503649,10.852889713679746,734,1
643,-4.028740875912408,10.988096500530222,577,1
653,-4.001368613138686,10.97908271474019,662,0
654,-4.001368613138686,10.717682926829266,942,1
656,-3.9831204379562046,11.844406150583243,503,1
657,-3.9831204379562046,11.384703075291622,1692,1
669,-3.9557481751824817,11.006124072110286,737,1
670,-3.9557481751824817,10.708669141039234,519,1
673,-3.9466240875912413,11.285551431601274,597,1
675,-3.9375,11.087248144220572,1982,1
677,-3.9375,10.879931071049839,1269,0
679,-3.9192518248175174,11.303579003181337,586,0
680,-3.9192518248175174,10.78077942735949,761,1
681,-3.9192518248175174,10.74472428419936,730,0
687,-3.910127737226278,11.186399787910924,579,1
688,-3.910127737226278,10.843875927889712,509,1
697,-3.8918795620437954,10.906972428419936,1005,1
706,-3.8736313868613137,11.150344644750797,763,1
707,-3.8736313868613137,11.033165429480382,792,1
714,-3.855383211678832,10.771765641569457,671,1
732,-3.828010948905109,10.943027571580062,968,1
788,-3.700273722627737,10.924999999999999,1067,1
798,-3.691149635036497,10.997110286320254,663,1
